Index,Lieferant,LiefArtNr,LiefFarbe,EigeneFarbBez,Wgrp,Groesse,Mwst,Preis,Lagerbestand,Saison,
2011111111538,Sonia by Sonia Rykiel,13E88126302-6,001,schwarz,36,Da Hose kurz,19,290.00,0,131,
2011111111545,Sonia by Sonia Rykiel,13E88126302-6,001,schwarz,38,Da Hose kurz,19,290.00,0,131,
2011111111552,Sonia by Sonia Rykiel,13E88126302-6,001,schwarz,40,Da Hose kurz,19,290.00,0,131,
2011111111569,Sonia by Sonia Rykiel,13E88126302-6,001,schwarz,42,Da Hose kurz,19,290.00,0,131,
2011111134896,Sonia by Sonia Rykiel,13E 884444327-73,422 Worker/Noir,blau,36,Da Hosen Lang,19,340.00,0,132,
2011111134902,Sonia by Sonia Rykiel,13E 884444327-73,422 Worker/Noir,blau,38,Da Hosen Lang,19,340.00,0,132,
2011111134919,Sonia by Sonia Rykiel,13E 884444327-73,422 Worker/Noir,blau,42,Da Hosen Lang,19,340.00,0,132,
2011111128703,Sonia by Sonia Rykiel,13E 884444327-73,591,rosa,34,Da Hosen Lang,19,340.00,0,132,
2011111128710,Sonia by Sonia Rykiel,13E 884444327-73,591,rosa,36,Da Hosen Lang,19,340.00,0,132,
2011111128727,Sonia by Sonia Rykiel,13E 884444327-73,591,rosa,38,Da Hosen Lang,19,340.00,0,132,
2011111134926,Sonia by Sonia Rykiel,13E 884444327-73,591,rosa,40,Da Hosen Lang,19,340.00,0,132,
2011111128581,Sonia by Sonia Rykiel,13E881266323:81,001,schwarz,34,Da Hosen Lang,19,279.00,0,132,
2011111128598,Sonia by Sonia Rykiel,13E881266323:81,001,schwarz,36,Da Hosen Lang,19,279.00,0,132,
2011111128604,Sonia by Sonia Rykiel,13E881266323:81,001,schwarz,38,Da Hosen Lang,19,279.00,0,132,
2011111178173,Sonia by Sonia Rykiel,81432329-X6,361SAILOR,gemustert,36,Da Hosen Lang,19,339.00,1,142,
2011111178180,Sonia by Sonia Rykiel,81432329-X6,361SAILOR,gemustert,38,Da Hosen Lang,19,339.00,1,142,
2011111178197,Sonia by Sonia Rykiel,81432329-X6,361SAILOR,gemustert,40,Da Hosen Lang,19,339.00,1,142,
2011111178203,Sonia by Sonia Rykiel,81432329-X6,361SAILOR,gemustert,42,Da Hosen Lang,19,339.00,1,142,
2011111161953,Sonia by Sonia Rykiel,81446311-2E,BLACK/PEONY -009,Mehrfarbig,36,Da Hosen Lang,19,299.00,0,141,
2011111161960,Sonia by Sonia Rykiel,81446311-2E,BLACK/PEONY -009,Mehrfarbig,38,Da Hosen Lang,19,299.00,1,141,
2011111161977,Sonia by Sonia Rykiel,81446311-2E,BLACK/PEONY -009,Mehrfarbig,40,Da Hosen Lang,19,299.00,1,141,
2011111153996,Sonia by Sonia Rykiel,89127324-80,001,schwarz,36,Da Hosen Lang,19,359.00,0,134,
2011111154009,Sonia by Sonia Rykiel,89127324-80,001,schwarz,38,Da Hosen Lang,19,359.00,0,134,
2011111154016,Sonia by Sonia Rykiel,89127324-80,001,schwarz,40,Da Hosen Lang,19,359.00,0,134,
2011111154023,Sonia by Sonia Rykiel,89139332-84,052,,36,Da Hosen Lang,19,359.00,1,134,
2011111154030,Sonia by Sonia Rykiel,89139332-84,052,,38,Da Hosen Lang,19,359.00,1,134,
2011111154047,Sonia by Sonia Rykiel,89139332-84,052,,40,Da Hosen Lang,19,359.00,0,134,
2011111153743,Sonia by Sonia Rykiel,89170341-FH,505,schwarz,M,Da Hosen Lang,19,469.00,0,134,
2011111153736,Sonia by Sonia Rykiel,89170341-FH,505,schwarz,S,Da Hosen Lang,19,469.00,0,134,
2011111153774,Sonia by Sonia Rykiel,89170343-JA,348,braun,L,Da Hosen Lang,19,269.00,0,134,
2011111153767,Sonia by Sonia Rykiel,89170343-JA,348,braun,M,Da Hosen Lang,19,269.00,0,134,
2011111153750,Sonia by Sonia Rykiel,89170343-JA,348,braun,S,Da Hosen Lang,19,269.00,1,134,
2011111136609,Sonia by Sonia Rykiel,89225303 - 48,001 Noir,schwarz,38,Da Leggins,19,239.00,0,133,
2011111136616,Sonia by Sonia Rykiel,89225303 - 48,001 Noir,schwarz,40,Da Leggins,19,239.00,0,133,
2011111136623,Sonia by Sonia Rykiel,89225303 - 48,001 Noir,schwarz,42,Da Leggins,19,239.00,1,133,
2011111136371,Sonia by Sonia Rykiel,89251331 - BD,001 Noir,schwarz,L,Da Leggins,19,229.00,1,133,
2011111136364,Sonia by Sonia Rykiel,89251331 - BD,001 Noir,schwarz,M,Da Leggins,19,229.00,1,133,
2011111136357,Sonia by Sonia Rykiel,89251331 - BD,001 Noir,schwarz,S,Da Leggins,19,229.00,0,133,
2011111136388,Sonia by Sonia Rykiel,89251331 - BD,001 Noir,schwarz,XL,Da Leggins,19,229.00,0,133,
2011111136340,Sonia by Sonia Rykiel,89251328 - BF,477 Grey/Silver,Silber,L,Da Jogginghose,19,279.00,0,133,
2011111136333,Sonia by Sonia Rykiel,89251328 - BF,477 Grey/Silver,Silber,M,Da Jogginghose,19,279.00,0,133,
2011111136326,Sonia by Sonia Rykiel,89251328 - BF,477 Grey/Silver,Silber,S,Da Jogginghose,19,279.00,0,133,
2011111134827,Sonia by Sonia Rykiel,13E 88251858-FD,001,schwarz,L,Da Pullover LA,19,239.00,0,132,
2011111134810,Sonia by Sonia Rykiel,13E 88251858-FD,001,schwarz,M,Da Pullover LA,19,239.00,0,132,
2011111134803,Sonia by Sonia Rykiel,13E 88251858-FD,001,schwarz,S,Da Pullover LA,19,239.00,0,132,
2011111134834,Sonia by Sonia Rykiel,13E 88251858-FD,001,schwarz,XL,Da Pullover LA,19,239.00,0,132,
2011111128574,Sonia by Sonia Rykiel,13E 88251858-FD,300,gelb,L,Da Pullover LA,19,239.00,0,132,
2011111128567,Sonia by Sonia Rykiel,13E 88251858-FD,300,gelb,M,Da Pullover LA,19,239.00,0,132,
2011111128550,Sonia by Sonia Rykiel,13E 88251858-FD,300,gelb,S,Da Pullover LA,19,239.00,0,132,
2011111128451,Sonia by Sonia Rykiel,13E88249825-KA,015,schwarz,L,Da Pullover LA,19,335.00,0,132,
2011111128444,Sonia by Sonia Rykiel,13E88249825-KA,015,schwarz,M,Da Pullover LA,19,335.00,0,132,
2011111128437,Sonia by Sonia Rykiel,13E88249825-KA,015,schwarz,S,Da Pullover LA,19,335.00,0,132,
2011111111415,Sonia by Sonia Rykiel,13E88550806-BA,502,gemustert,L,Da Pullover LA,19,295.00,0,131,
2011111111408,Sonia by Sonia Rykiel,13E88550806-BA,502,gemustert,M,Da Pullover LA,19,295.00,0,131,
2011111111392,Sonia by Sonia Rykiel,13E88550806-BA,502,gemustert,S,Da Pullover LA,19,295.00,0,131,
2011111111422,Sonia by Sonia Rykiel,13E88550806-BA,502,gemustert,XL,Da Pullover LA,19,295.00,0,131,
2011111161670,Sonia by Sonia Rykiel,81251820-CH,PINK/TUTU -644,gemustert,L,Da Pullover LA,19,299.00,1,141,
2011111161663,Sonia by Sonia Rykiel,81251820-CH,PINK/TUTU -644,gemustert,M,Da Pullover LA,19,299.00,0,141,
2011111161656,Sonia by Sonia Rykiel,81251820-CH,PINK/TUTU -644,gemustert,S,Da Pullover LA,19,299.00,0,141,
2011111177985,Sonia by Sonia Rykiel,81251854-NI,727CARDINAL/NAVY,blau,L,Da Pullover LA,19,295.00,1,142,
2011111177978,Sonia by Sonia Rykiel,81251854-NI,727CARDINAL/NAVY,blau,M,Da Pullover LA,19,295.00,1,142,
2011111177961,Sonia by Sonia Rykiel,81251854-NI,727CARDINAL/NAVY,blau,S,Da Pullover LA,19,295.00,0,142,
2011111178012,Sonia by Sonia Rykiel,81251855-PA,482 STONE/CARDINAL,blau,L,Da Pullover LA,19,239.00,1,142,
2011111178005,Sonia by Sonia Rykiel,81251855-PA,482 STONE/CARDINAL,blau,M,Da Pullover LA,19,239.00,1,142,
2011111177992,Sonia by Sonia Rykiel,81251855-PA,482 STONE/CARDINAL,blau,S,Da Pullover LA,19,239.00,1,142,
2011111178043,Sonia by Sonia Rykiel,81251907-NC,604 BLUSH/CARDINAL,Nude,L,Da Pullover LA,19,239.00,0,142,
2011111178036,Sonia by Sonia Rykiel,81251907-NC,604 BLUSH/CARDINAL,Nude,M,Da Pullover LA,19,239.00,0,142,
2011111178029,Sonia by Sonia Rykiel,81251907-NC,604 BLUSH/CARDINAL,Nude,S,Da Pullover LA,19,239.00,0,142,
2011111178074,Sonia by Sonia Rykiel,81740903-OA,205 DUNE,beige,L,Da Pullover LA,19,295.00,0,142,
2011111178067,Sonia by Sonia Rykiel,81740903-OA,205 DUNE,beige,M,Da Pullover LA,19,295.00,1,142,
2011111178050,Sonia by Sonia Rykiel,81740903-OA,205 DUNE,beige,S,Da Pullover LA,19,295.00,1,142,
2011111153842,Sonia by Sonia Rykiel,89170911-JF,347,braun,-0-,Da Pullover LA,19,279.00,3,134,
2011111153873,Sonia by Sonia Rykiel,89170912-FH,505,schwarz,L,Da Pullover LA,19,399.00,0,134,
2011111153866,Sonia by Sonia Rykiel,89170912-FH,505,schwarz,M,Da Pullover LA,19,399.00,0,134,
2011111153859,Sonia by Sonia Rykiel,89170912-FH,505,schwarz,S,Da Pullover LA,19,399.00,0,134,
2011111153903,Sonia by Sonia Rykiel,89170941-TA,348,braun,L,Da Pullover LA,19,309.00,1,134,
2011111153897,Sonia by Sonia Rykiel,89170941-TA,348,braun,M,Da Pullover LA,19,309.00,1,134,
2011111153880,Sonia by Sonia Rykiel,89170941-TA,348,braun,S,Da Pullover LA,19,309.00,1,134,
2011111136067,Sonia by Sonia Rykiel,89171856 - CB,342 Leopard / Pink,rosa,L,Da Pullover LA,19,299.00,0,133,
2011111136050,Sonia by Sonia Rykiel,89171856 - CB,342 Leopard / Pink,rosa,M,Da Pullover LA,19,299.00,0,133,
2011111136043,Sonia by Sonia Rykiel,89171856 - CB,342 Leopard / Pink,rosa,S,Da Pullover LA,19,299.00,1,133,
